date;price
03/03/2013;34.05.00
04/03/2013;36.152
05/03/2013;40.33.00
06/03/2013;410.201
07/03/2013;42.00.00
08/03/2013;44.18.00
09/03/2013;46.85
10/03/2013;46.00.00
11/03/2013;48.04.00
12/03/2013;442.899
13/03/2013;46.92
14/03/2013;471.696
15/03/2013;46.95
16/03/2013;470.002
17/03/2013;47.04.00
18/03/2013;51.06.00
19/03/2013;59.14.00
20/03/2013;644.888
21/03/2013;70.85
22/03/2013;69.865
23/03/2013;64.35.00
24/03/2013;71.05.00
25/03/2013;73.06.00
26/03/2013;78.05.00
27/03/2013;88.92
28/03/2013;86.18.00
29/03/2013;90.05.00
30/03/2013;92.19.00
31/03/2013;93.03.00
01/04/2013;104.00.00
02/04/2013;117.98
03/04/2013;135.00.00
04/04/2013;132.12.00
05/04/2013;1.423.236
06/04/2013;1.426.311
07/04/2013;162.301
08/04/2013;187.05.00
09/04/2013;230.00.00
10/04/2013;165.00.00
11/04/2013;124.09.00
12/04/2013;117.00.00
13/04/2013;93.00.00
14/04/2013;90.00.00
15/04/2013;82.386
16/04/2013;683.557
17/04/2013;93.07.00
18/04/2013;109.01.00
19/04/2013;118.48.00
20/04/2013;1.266.155
21/04/2013;119.02.00
22/04/2013;127.04.00
23/04/2013;143.475
24/04/2013;154.02.00
25/04/2013;141.71
26/04/2013;136.09.00
27/04/2013;1.280.001
28/04/2013;1.344.444
29/04/2013;1.439.999
30/04/2013;1.392.269
01/05/2013;116.38.00
02/05/2013;106.25.00
03/05/2013;98.01.00
04/05/2013;112.09.00
05/05/2013;115.98
06/05/2013;112.25.00
07/05/2013;1.096.001
08/05/2013;113.02.00
09/05/2013;112.799
10/05/2013;117.07.00
11/05/2013;115.64
12/05/2013;114.82
13/05/2013;1.179.797
14/05/2013;111.04.00
15/05/2013;114.22.00
16/05/2013;118.21.00
17/05/2013;123.05.00
18/05/2013;123.211
19/05/2013;122.05.00
20/05/2013;122.02.00
21/05/2013;122.89
22/05/2013;123.08.00
23/05/2013;126.03.00
24/05/2013;133.01.00
25/05/2013;131.986
26/05/2013;133.05.00
27/05/2013;129.77
28/05/2013;129.00.00
29/05/2013;132.25.00
30/05/2013;128.799
31/05/2013;1.288.151
01/06/2013;129.03.00
02/06/2013;122.05.00
03/06/2013;1.207.372
04/06/2013;121.04.00
05/06/2013;121.09.00
06/06/2013;1.189.699
07/06/2013;111.00.00
08/06/2013;1.078.924
09/06/2013;1.004.374
10/06/2013;106.35.00
11/06/2013;109.00.00
12/06/2013;1.087.759
13/06/2013;103.949
14/06/2013;100.00.00
15/06/2013;99.08.00
16/06/2013;99.09.00
17/06/2013;101.95
18/06/2013;107.35.00
19/06/2013;108.251
20/06/2013;111.29.00
21/06/2013;109.05.00
22/06/2013;108.02.00
23/06/2013;107.09.00
24/06/2013;102.09.00
25/06/2013;1.033.293
26/06/2013;104.00.00
27/06/2013;1.017.368
28/06/2013;94.66
29/06/2013;94.999
30/06/2013;97.51.00
01/07/2013;846.069
02/07/2013;876.562
03/07/2013;768.901
04/07/2013;77.685
05/07/2013;66.34.00
06/07/2013;66.855
07/07/2013;725.053
08/07/2013;74.56.00
09/07/2013;74.225
10/07/2013;84.515
11/07/2013;91.22.00
12/07/2013;88.465
13/07/2013;913.888
14/07/2013;903.713
15/07/2013;93.14.00
16/07/2013;927.415
17/07/2013;905.425
18/07/2013;854.298
19/07/2013;857.775
20/07/2013;856.675
21/07/2013;854.725
22/07/2013;860.862
23/07/2013;869.389
24/07/2013;874.575
25/07/2013;89.41.00
26/07/2013;906.325
27/07/2013;890.975
28/07/2013;92.01.00
29/07/2013;932.981
30/07/2013;96.31.00
31/07/2013;97.915
01/08/2013;964.175
02/08/2013;97.24.00
03/08/2013;96.66
04/08/2013;96.06.00
05/08/2013;96.92
06/08/2013;971.331
07/08/2013;96.92
08/08/2013;94.775
09/08/2013;93.36.00
10/08/2013;932.875
11/08/2013;941.625
12/08/2013;95.085
13/08/2013;979.021
14/08/2013;97.96
15/08/2013;97.545
16/08/2013;98.33.00
17/08/2013;99.565
18/08/2013;98.845
19/08/2013;1.022.997
20/08/2013;1.050.125
21/08/2013;111.445
22/08/2013;109.73
23/08/2013;1.075.475
24/08/2013;1.086.875
25/08/2013;111.795
26/08/2013;112.23.00
27/08/2013;1.174.461
28/08/2013;117.59.00
29/08/2013;1.175.227
30/08/2013;1.232.332
31/08/2013;129.46.00
01/09/2013;1.282.597
02/09/2013;1.273.648
03/09/2013;1.275.915
04/09/2013;1.205.738
05/09/2013;1.205.333
06/09/2013;116.321
07/09/2013;1.190.547
08/09/2013;116.595
09/09/2013;1.200.188
10/09/2013;121.458
11/09/2013;1.254.518
12/09/2013;1.257.598
13/09/2013;1.265.072
14/09/2013;1.240.813
15/09/2013;1.245.783
16/09/2013;1.250.618
17/09/2013;1.259.683
18/09/2013;1.263.045
19/09/2013;1.241.937
20/09/2013;1.229.008
21/09/2013;1.226.435
22/09/2013;122.651
23/09/2013;1.222.235
24/09/2013;1.225.383
25/09/2013;123.423
26/09/2013;1.234.763
27/09/2013;1.234.983
28/09/2013;1.247.483
29/09/2013;1.251.807
30/09/2013;1.230.983
01/10/2013;1.254.938
02/10/2013;998.135
03/10/2013;1.168.168
04/10/2013;1.212.945
05/10/2013;1.211.398
06/10/2013;1.216.828
07/10/2013;123.245
08/10/2013;1.243.182
09/10/2013;1.258.423
10/10/2013;1.256.982
11/10/2013;1.255.117
12/10/2013;1.265.232
13/10/2013;1.304.155
14/10/2013;1.330.355
15/10/2013;1.386.417
16/10/2013;1.374.188
17/10/2013;142.735
18/10/2013;1.495.947
19/10/2013;1.598.115
20/10/2013;1.630.632
21/10/2013;1.741.772
22/10/2013;1.838.648
23/10/2013;200.62
24/10/2013;1.831.482
25/10/2013;1.781.217
26/10/2013;1.759.008
27/10/2013;1.856.888
28/10/2013;1.878.683
29/10/2013;1.981.932
30/10/2013;1.945.493
31/10/2013;1.982.263
01/11/2013;1.985.098
02/11/2013;2.008.473
03/11/2013;2.076.335
04/11/2013;225.196
05/11/2013;239.29.00
06/11/2013;2.536.933
